feature_id	repo	category	environment	signal_type	signal_locator	current_kpi	proposed_kpi_name	proposed_kpi_threshold	proposed_kpi_window	status	notes
F-FGOV-025	Factory	governance	prod	workflow	.github/workflows/automation-reliability-loop.yml	none	Weekly Reliability Scorecard	success% across 7d	weekly Mon 14:15 UTC	LIVE_NO_KPI	No alerting threshold
F-FGOV-026	Factory	governance	prod	workflow	.github/workflows/dead-mans-switch.yml	none	Aggregator Heartbeat	completion-tracker.json age<=26h	daily 11:11 UTC	LIVE_WITH_KPI	Fires P1 Pushover if stale; cold-start exception
F-FGOV-027	Factory	governance	prod	workflow	.github/workflows/completion-tracker.yml	none	Completion Snapshot Age	daily	daily 10:30 UTC	LIVE_WITH_KPI	Mines 5 org repos; auto-merge drift PR
F-FGOV-028	Factory	governance	prod	workflow	.github/workflows/cost-observability.yml	none	Daily Cost Digest	CF/Anthropic/Sentry/Stripe/GCP	daily 06:37 UTC	LIVE_NO_KPI	No threshold defined
F-FGOV-029	Factory	governance	prod	workflow	.github/workflows/revenue-digest.yml	none	Revenue + Reliability Digest	MRR + errors + funnel	daily 07:07 UTC	LIVE_NO_KPI	Pushover optional via input
F-FGOV-030	Factory	governance	prod	workflow	.github/workflows/platform-conformance.yml	none	Platform Conformance Score	advisory	daily 05:23 UTC	LIVE_NO_KPI	Shadow scores HD/VK/FA/CH/XC; not gating
F-FGOV-031	Factory	governance	prod	workflow	.github/workflows/generate-state.yml	none	STATE.md Freshness	daily update	daily 12:11 UTC	LIVE_NO_KPI	Auto-merge PR on change
F-FGOV-032	Factory	governance	prod	workflow	.github/workflows/track-kpis.yml	none	Delivery KPI Snapshot	weekly	weekly Mon 10am UTC	LIVE_NO_KPI	track-delivery-metrics.mjs; Slack webhook optional
F-FGOV-033	Factory	governance	prod	workflow	.github/workflows/morning-digest.yml	none	Morning Digest	workflow run summary	daily ~08:17 UTC	LIVE_NO_KPI	Content not found in repo
F-FGOV-034	Factory	governance	prod	workflow	.github/workflows/bootstrap-completion-tracker-private.yml	none	Private Repo Bootstrap	one-shot	manual	NOT_INSTRUMENTED	Rollout helper for coh + xico-city
F-FGOV-035	Factory	governance	prod	workflow	.github/workflows/capricast-rename.yml	none	Capricast Rename	property cascade	manual	NOT_INSTRUMENTED	Triggered on demand; scope unknown
F-FGOV-036	Factory	governance	prod	workflow	.github/workflows/copilot-pr-poller.yml	none	Copilot PR Polling	agent PR monitor	periodic	NOT_INSTRUMENTED	No schedule found in file
F-FGOV-037	Factory	governance	prod	workflow	.github/workflows/launch-readiness.yml	none	Launch Gate	5-criterion readiness	manual	LIVE_NO_KPI	Feature/deployment readiness
F-FGOV-038	Factory	governance	prod	workflow	.github/workflows/flaky-check-report.yml	none	Flaky Test Report	instability digest	scheduled	NOT_INSTRUMENTED	No audit lines detected
F-FGOV-039	Factory	governance	prod	audit_log	.github/scripts/pushover-notify.mjs:116	PUSHOVER_AUDIT	Pushover Notification Audit	per-call	immediate	LIVE_WITH_KPI	JSON: priority -2..1; sent flag + reason
F-FGOV-040	Factory	governance	prod	workflow	.github/workflows/sentry-to-github.yml	none	Sentry Alert Bridge	threshold→issue	scheduled	NOT_INSTRUMENTED	Mapping rules unknown
F-FGOV-041	Factory	governance	prod	workflow	.github/workflows/rfc-status-gate.yml	none	RFC Status Enforcement	open RFCs block GA	at PR/issue	LIVE_NO_KPI	Event-driven
F-FGOV-042	Factory	governance	prod	workflow	.github/workflows/pr-queue-digest.yml	none	PR Queue Digest	stale/blocked PRs	scheduled	LIVE_NO_KPI	No audit lines
F-FGOV-043	Factory	governance	prod	kill-switch	.github/automation-paused	none	Automation Kill Switch	file presence	at check-time	LIVE_WITH_KPI	Canonical existsSync check across all governance scripts
F-FGOV-044	Factory	governance	prod	doc	docs/decisions/2026-05-23-workflow-lifecycle.md	none	Workflow Lifecycle ADR	present	at merge	LIVE_WITH_KPI	Landed 2026-05-23; defines Phases 1-4
F-FGOV-045	Factory	governance	prod	workflow	.github/workflows/supervisor-loop.yml	none	Supervisor Loop	every 4h + on agent: label	per-tick	LIVE_NO_KPI	supervisor-core.mjs runs
F-FGOV-046	Factory	governance	prod	audit_log	.github/scripts/supervisor-core.mjs	none	Supervisor Audit Trail	per dispatch	per dispatch	NOT_INSTRUMENTED	Audit format unknown
F-FGOV-047	Factory	governance	prod	workflow	.github/workflows/project-sync.yml	none	Project Sync	Projects ↔ repo	scheduled	LIVE_NO_KPI	No audit lines
F-FGOV-048	Factory	governance	prod	workflow	.github/workflows/label-sync.yml	none	Label Synchronization	canonical set	scheduled	LIVE_NO_KPI	No audit lines
F-FGOV-049	Factory	governance	prod	workflow	.github/workflows/credential-scrub.yml	none	Credential Scrub	regex secret detection	push/PR	LIVE_NO_KPI	No audit lines
F-FGOV-050	Factory	governance	prod	workflow	.github/workflows/apply-sec-hardening.yml	none	Security Hardening	ruleset+protection sync	scheduled	LIVE_NO_KPI	No audit lines
F-FAPP-001	Factory	user-facing	prod	http	apps/admin-studio/src/index.ts:123	none	Admin Studio Liveness	>=99.9%	rolling 7d	LIVE_NO_KPI	/health endpoint with env context
F-FAPP-002	Factory	user-facing	prod	http	apps/admin-studio/src/index.ts:145	none	Admin Studio Route Coverage	16+ routes available	daily	LIVE_NO_KPI	auth/ai/tests/deploys/audit/etc
F-FAPP-003	Factory	integration	prod	webhook	apps/admin-studio/src/index.ts:139	none	Stripe Connect Webhook Success	>=99.5%	rolling 7d	LIVE_NO_KPI	/webhooks/stripe-connect ingress
F-FAPP-004	Factory	integration	prod	webhook	apps/admin-studio/src/index.ts:140	none	Studio Tests Webhook	>=99%	rolling 7d	LIVE_NO_KPI	/webhooks/studio-tests from CI
F-FAPP-005	Factory	cron	prod	cron	apps/admin-studio/wrangler.jsonc:57	none	Digest Cron Success	>=99%	rolling 7d	LIVE_NO_KPI	2× daily 10:30 + 22:30 UTC
F-FAPP-006	Factory	data	prod	audit_log	apps/admin-studio/src/index.ts:145	none	Audit Log Completeness	100%	daily	LIVE_NO_KPI	auditMiddleware on writes
F-FAPP-007	Factory	monitoring	prod	sentry	apps/admin-studio/src/index.ts:103	initMonitoring	Admin Studio Error Capture	>=99.5%	rolling 24h	LIVE_WITH_KPI	Sentry DSN init; request_id tagging
F-FAPP-008	Factory	data	prod	http	apps/admin-studio/src/index.ts:171	none	Admin Capabilities CRUD	100%	daily	LIVE_NO_KPI	10+ routes
F-FAPP-009	Factory	cron	prod	cron	apps/video-cron/wrangler.jsonc:11	none	Video Render Dispatch Hourly	>=98%	rolling 24h	LIVE_NO_KPI	Hourly cron processes pending jobs
F-FAPP-010	Factory	integration	prod	http	apps/video-cron/src/index.ts:107	none	GitHub Actions Dispatch	>=99%	rolling 7d	LIVE_NO_KPI	Dispatches render-video.yml
F-FAPP-011	Factory	user-facing	prod	http	apps/video-cron/src/index.ts:226	none	Video Cron Liveness	>=99.9%	rolling 7d	LIVE_NO_KPI	/health endpoint
F-FAPP-012	Factory	infra	prod	http	apps/schedule-worker/src/index.ts:146	none	Schedule Worker Health	>=99.9%	rolling 7d	LIVE_NO_KPI	/health + /stripe/health
F-FAPP-013	Factory	data	prod	http	apps/schedule-worker/src/index.ts:257	none	Pending Jobs API	>=99%	rolling 7d	LIVE_NO_KPI	GET /jobs/pending
F-FAPP-014	Factory	user-facing	prod	http	apps/schedule-worker/src/index.ts:341	none	Job Scheduling Success	>=99%	rolling 7d	LIVE_NO_KPI	POST /jobs PATCH /jobs/:id
F-FAPP-015	Factory	integration	prod	webhook	apps/webhook-fanout/src/index.ts:549	none	Stripe Webhook Verification	>=99.9%	rolling 7d	LIVE_NO_KPI	HMAC-SHA256 constant-time
F-FAPP-016	Factory	integration	prod	http	apps/webhook-fanout/src/index.ts:500	none	Contact Form Submission	>=98%	rolling 7d	LIVE_NO_KPI	/contact rate-limited per IP
F-FAPP-017	Factory	data	prod	event	apps/webhook-fanout/src/index.ts:136	insertFactoryEvent	factory_events Insertion	>=99%	rolling 7d	LIVE_WITH_KPI	D1 factory_events writes
F-FAPP-018	Factory	integration	prod	event	apps/webhook-fanout/src/index.ts:112	capturePostHogEvent	PostHog Capture Rate	>=95%	rolling 7d	LIVE_WITH_KPI	Stripe → PostHog fan-out
F-FAPP-019	Factory	integration	prod	http	apps/webhook-fanout/src/index.ts:187	sendResendLifecycleEmail	Lifecycle Email Send	>=98%	rolling 7d	LIVE_NO_KPI	Subscription + invoice emails
F-FAPP-020	Factory	cron	prod	cron	apps/daily-brief/wrangler.jsonc	none	Daily Brief Cron	>=98%	rolling 7d	LIVE_NO_KPI	11:00 UTC daily (7am ET)
F-FAPP-021	Factory	integration	prod	http	apps/daily-brief/src/index.ts	none	Daily Brief Email Delivery	>=95%	rolling 7d	LIVE_NO_KPI	Resend API dispatch
F-FAPP-022	Factory	integration	prod	http	apps/daily-brief/src/index.ts	none	News API + GitHub Fetch	>=90%	rolling 7d	LIVE_NO_KPI	External data fetching
F-FAPP-023	Factory	monitoring	prod	cron	apps/synthetic-monitor/wrangler.jsonc:17	none	Synthetic Check Success	>=98%	rolling 24h	LIVE_NO_KPI	5-min cadence liveness probes
F-FAPP-024	Factory	monitoring	prod	metric	apps/synthetic-monitor/src/index.ts:30	none	P95 Endpoint Latency	<2000ms	rolling 24h	LIVE_NO_KPI	Puppeteer journey monitoring
F-FAPP-025	Factory	infra	prod	http	apps/supervisor/wrangler.jsonc	none	Supervisor Liveness	>=99%	rolling 7d	LIVE_NO_KPI	DO + weekly schedule 11am UTC
F-FAPP-026	Factory	user-facing	all	http	apps/admin-studio-ui/vite.config.ts	none	Admin UI Frontend Availability	>=99%	rolling 7d	LIVE_NO_KPI	Vite + Pages; no /health
F-FAPP-027	Factory	infra	prod	http	apps/browser-agent	none	Browser Agent Uptime	>=98%	rolling 7d	NOT_INSTRUMENTED	GCP Cloud Run Playwright
F-FAPP-028	Factory	cron	prod	cron	apps/lead-gen/wrangler.jsonc	none	Lead Gen Cron	>=95%	rolling 7d	LIVE_NO_KPI	10:00 UTC daily
F-FAPP-029	Factory	data	prod	http	apps/lead-gen/wrangler.jsonc	none	Lead Gen Queue Processing	>=95%	rolling 7d	LIVE_NO_KPI	factory-lead-gen-queue producer
F-FAPP-030	Factory	user-facing	prod	http	apps/latwoodtech-web	none	latwoodtech.com Availability	>=99.9%	rolling 7d	LIVE_NO_KPI	Static Pages deployment
F-FAPP-031	Factory	infra	prod	http	apps/prime-self-reference	none	Prime Self Reference API	>=99%	rolling 7d	NOT_INSTRUMENTED	No wrangler.jsonc found
F-FAPP-032	Factory	monitoring	prod	http	apps/prime-self-smoke	none	Prime Self Smoke Tests	>=98%	rolling 24h	LIVE_NO_KPI	Playwright E2E for selfprime.net
F-FAPP-033	Factory	data	staging	http	apps/admin-studio-ui	none	Admin UI Staging Availability	>=99%	rolling 7d	LIVE_NO_KPI	staging.admin-studio-ui.pages.dev
F-FAPP-034	Factory	integration	prod	http	apps/webhook-fanout/wrangler.jsonc	none	Webhook Fanout Availability	>=99.9%	rolling 7d	LIVE_NO_KPI	webhooks.latwoodtech.work
F-FAPP-035	Factory	infra	prod	package	packages/monitoring	none	Sentry Event Rate (package)	>1000/day	rolling 24h	LIVE_WITH_KPI	Provides initMonitoring + captureError
F-FAPP-036	Factory	infra	prod	package	packages/analytics	none	Factory Events Emission (package)	>10000/day	rolling 24h	LIVE_WITH_KPI	D1 + PostHog helpers
F-FAPP-037	Factory	infra	prod	package	packages/logger	none	Log Volume (package)	>1M/day	rolling 24h	LIVE_WITH_KPI	createLogger; request_id tagging
F-FAPP-038	Factory	infra	prod	package	packages/llm-meter	none	LLM Token Spend	>$50/day	rolling 24h	LIVE_WITH_KPI	Meters Anthropic/Groq/Vertex
F-FAPP-039	Factory	infra	prod	package	packages/errors	none	Error Type Classification	informational	per-error	LIVE_NO_KPI	ValidationError/AuthError/NotFoundError
F-FAPP-040	Factory	infra	prod	package	packages/auth	none	Auth Signal Surface	informational	n/a	LIVE_NO_KPI	JWT + OAuth helpers
F-FAPP-041	Factory	infra	prod	package	packages/neon	none	DB Query Execution	informational	n/a	LIVE_NO_KPI	Neon serverless wrapper
F-FAPP-042	Factory	infra	prod	package	packages/design-tokens	none	Frontend Theming	informational	n/a	DEAD	Pure config; no signal
F-FAPP-043	Factory	infra	prod	package	packages/schedule	none	Render Job State Machine	informational	n/a	LIVE_WITH_KPI	getPendingJobs/updateJobStatus
F-FAPP-044	Factory	infra	prod	package	packages/stripe	none	Stripe SDK Integration	informational	n/a	LIVE_NO_KPI	Payment primitives
F-FAPP-045	Factory	infra	prod	package	packages/compliance	none	Compliance Tracking	informational	n/a	LIVE_NO_KPI	GDPR + data deletion
F-FAPP-046	Factory	infra	prod	package	packages/flags	none	Feature Flagging	informational	n/a	LIVE_NO_KPI	FLAG_TELEMETRY D1
F-FAPP-047	Factory	infra	prod	package	packages/llm	none	LLM Orchestration	informational	n/a	LIVE_WITH_KPI	Anthropic→Grok→Groq chain
F-FAPP-048	Factory	infra	prod	package	packages/content	none	Content Management	informational	n/a	LIVE_NO_KPI	training-library.json briefs
F-FAPP-049	Factory	infra	prod	package	packages/validation	none	Input Validation	informational	n/a	LIVE_NO_KPI	Zod/Valibot wrappers
F-FAPP-050	Factory	infra	prod	package	packages/studio-core	none	Admin Capability CRUD	informational	n/a	LIVE_WITH_KPI	Manifest/deploy/capability schemas
F-HD-001	HumanDesign	user-facing	prod	http	workers/src/index.js:465	none	Chart Calculate Requests	>1000/day	rolling 7d	LIVE_NO_KPI	trackEvent(CHART_CALCULATE) fires; no funnel KPI
F-HD-002	HumanDesign	user-facing	prod	http	workers/src/index.js:469	none	Profile Generate Latency	<5s p95	rolling 7d	LIVE_NO_KPI	LLM synthesis endpoint; no SLA
F-HD-003	HumanDesign	user-facing	prod	http	workers/src/index.js:476	trackEvent(TRANSIT_VIEW)	Transit View Rate	>500/day	rolling 7d	LIVE_NO_KPI	Captured; critical for engagement
F-HD-004	HumanDesign	user-facing	prod	http	workers/src/index.js:490	trackEvent(CHECKOUT_*)	Checkout Completion Rate	>65%	rolling 7d	LIVE_WITH_KPI	Stripe; disable_checkout=true gates revenue
F-HD-005	HumanDesign	user-facing	prod	http	workers/src/index.js:518	trackEvent(ACHIEVEMENT_UNLOCK)	Achievement Unlock Rate	>30%	rolling 7d	LIVE_WITH_KPI	Flag ACHIEVEMENTS_VISIBLE=true
F-HD-006	HumanDesign	user-facing	prod	http	workers/src/index.js:534	trackEvent(SHARE_CREATE)	Share Creation Rate	>200/wk	rolling 7d	LIVE_WITH_KPI	celebrity/chart/achievement/referral shares
F-HD-007	HumanDesign	user-facing	prod	http	workers/src/index.js:410	trackEvent(SIGNUP)	Signup Completion	>50/day	rolling 7d	LIVE_WITH_KPI	Auth handler logs event
F-HD-008	HumanDesign	user-facing	prod	http	workers/src/index.js:411	trackEvent(LOGIN)	Login Success Rate	>95%	rolling 7d	LIVE_WITH_KPI	LOGIN + LOGIN_FAIL captured
F-HD-009	HumanDesign	user-facing	prod	db_column	daily_checkins.created_at	trackEvent(CHECKIN_COMPLETE)	Daily Checkin Adherence	>40%	rolling 7d	LIVE_WITH_KPI	Streak via checkin_reminders
F-HD-010	HumanDesign	user-facing	prod	db_column	referrals.created_at	trackEvent(REFERRAL_SEND)	Referral Generation Rate	>100/wk	rolling 7d	LIVE_WITH_KPI	referral_signups FK
F-HD-011	HumanDesign	user-facing	prod	http	workers/src/handlers/analytics.js:121	trackEvent(SHELL_*)	User Engagement Signal	>500 events/day	rolling 7d	LIVE_WITH_KPI	40+ public shell event types
F-HD-012	HumanDesign	user-facing	prod	http	workers/src/handlers/billing.js:120	trackEvent(UPGRADE/DOWN/CANCEL)	Tier Conversion Funnel	>20/day	rolling 7d	LIVE_WITH_KPI	Subscription lifecycle
F-HD-013	HumanDesign	user-facing	prod	http	workers/src/index.js:118	none	Agent Commerce Order Claim Rate	>50%	rolling 7d	LIVE_NO_KPI	agentic_orders 30-day claim TTL
F-HD-014	HumanDesign	user-facing	prod	db_column	agentic_orders.status	none	ACS Fulfillment Completion	awaiting_birth→ready	rolling 7d	LIVE_NO_KPI	8-state lifecycle; no conversion funnel
F-HD-015	HumanDesign	integration	prod	webhook	workers/src/handlers/stripe-webhook.js:13	trackEvent(PI_SUCCEEDED)	Stripe Webhook Processing	>99%	rolling 7d	LIVE_WITH_KPI	5 event types observed
F-HD-016	HumanDesign	user-facing	prod	http	workers/src/index.js:81	none	PDF Export Completion	>100/wk	rolling 7d	LIVE_NO_KPI	trackEvent(PDF_EXPORT) fires; no SLA
F-HD-017	HumanDesign	user-facing	prod	http	workers/src/index.js:152	none	Composite Chart Generation	>50/wk	rolling 7d	LIVE_NO_KPI	trackEvent(COMPOSITE_GENERATE) fires
F-HD-018	HumanDesign	user-facing	prod	http	workers/src/index.js:481	trackEvent(RECTIFY_RUN)	Rectification Sensitivity	>20/wk	rolling 7d	LIVE_WITH_KPI	Birth-time sensitivity analysis
F-HD-019	HumanDesign	user-facing	prod	http	workers/src/index.js:34	none	SMS Digest Engagement	>30%	rolling 7d	LIVE_NO_KPI	/api/sms/webhook Telnyx; no delivery metrics
F-HD-020	HumanDesign	user-facing	prod	db_column	transit_alerts.created_at	trackEvent(TRANSIT_ALERT)	Active Transit Alert Count	>100/day	daily	LIVE_NO_KPI	alert_templates + alert_deliveries
F-HD-021	HumanDesign	user-facing	prod	http	workers/src/handlers/practitioner.js	none	Practitioner Registration	>5/wk	rolling 7d	LIVE_NO_KPI	No funnel event
F-HD-022	HumanDesign	user-facing	prod	http	workers/src/handlers/cluster.js	trackEvent(CLUSTER_*)	Cluster Creation Rate	>10/wk	rolling 7d	LIVE_WITH_KPI	Cluster synthesis events
F-HD-023	HumanDesign	user-facing	prod	db_column	practitioner_session_notes.created_at	trackEvent(SESSION_HANDOFF)	Session Handoff Count	>50/wk	rolling 7d	LIVE_WITH_KPI	B2B2C reflection loop
F-HD-024	HumanDesign	user-facing	prod	db_column	client_reflections.created_at	trackEvent(CLIENT_REFLECTION_CREATED)	Client Reflection Rate	>30/wk	rolling 7d	LIVE_WITH_KPI	Reflection creation events
F-HD-025	HumanDesign	feature-flag	prod	feature-flag	workers/src/handlers/divination-readings.js	none	Divination Reading Creation	>20/wk	rolling 7d	LIVE_NO_KPI	Flag DIVINATION_ENABLED=false
F-HD-026	HumanDesign	user-facing	prod	http	workers/src/handlers/famous.js	trackEvent(CELEBRITY_COMPARE)	Celebrity Match Requests	>500/wk	rolling 7d	LIVE_WITH_KPI	Celebrity compare events
F-HD-027	HumanDesign	user-facing	prod	http	workers/src/handlers/timing.js	none	Intention Timing Requests	>100/wk	rolling 7d	LIVE_NO_KPI	handleTiming; no trackEvent
F-HD-028	HumanDesign	user-facing	prod	http	workers/src/handlers/validation.js	none	Behavioral Validation Surveys	>50/wk	rolling 7d	LIVE_NO_KPI	Big Five + VIA; no trackEvent
F-HD-029	HumanDesign	user-facing	prod	http	workers/src/handlers/psychometric.js	none	Psychometric Assessment	>50/wk	rolling 7d	LIVE_NO_KPI	No event capture
F-HD-030	HumanDesign	user-facing	prod	http	workers/src/handlers/diary.js	none	Diary Entry Creation	>100/wk	rolling 7d	LIVE_NO_KPI	No dedicated trackEvent
F-HD-031	HumanDesign	user-facing	prod	http	workers/src/handlers/live-session.js	trackEvent(SESSION_HANDOFF)	Live Session Creation	>30/wk	rolling 7d	LIVE_WITH_KPI	Durable Object WebSocket
F-HD-032	HumanDesign	user-facing	prod	http	workers/src/handlers/messages.js	none	Practitioner-Client Message Volume	>500/wk	rolling 7d	LIVE_NO_KPI	No trackEvent
F-HD-033	HumanDesign	feature-flag	prod	feature-flag	workers/src/handlers/notion.js	none	Notion OAuth Connection	>5/wk	rolling 7d	LIVE_NO_KPI	Flag NOTION_SYNC_ACTIVE=false
F-HD-034	HumanDesign	user-facing	prod	http	workers/src/handlers/email-campaigns.js	none	Email Campaign Delivery	>1000/wk	rolling 7d	LIVE_NO_KPI	email_campaign_sends; no trackEvent
F-HD-035	HumanDesign	user-facing	prod	db_column	bug_reports.created_at	none	Bug Report Volume	>10/wk	rolling 7d	LIVE_NO_KPI	No trackEvent
F-HD-036	HumanDesign	user-facing	prod	http	workers/src/handlers/webhooks.js	none	Custom Webhook Deliveries	>100/day	rolling 7d	LIVE_NO_KPI	webhook_deliveries table
F-HD-037	HumanDesign	data	prod	db_column	analytics_events.event_name	EVENTS enum	Event Volume by Type	>1M/month	rolling 7d	LIVE_WITH_KPI	36 event types; analytics_daily aggregates
F-HD-038	HumanDesign	data	prod	db_column	analytics_daily.event_date	none	Daily Active Users	>500	rolling 7d	LIVE_NO_KPI	No DAU calculation published
F-HD-039	HumanDesign	feature-flag	prod	feature-flag	feature_flags.enabled	none	Feature Flag Rollout Health	100% intended	rolling 7d	LIVE_NO_KPI	6 flags; no rollout % tracking
F-HD-040	HumanDesign	monitoring	prod	sentry	workers/src/lib/sentry.js	initSentry	Error Rate by Handler	<0.1%	rolling 7d	LIVE_NO_KPI	Sentry live; captureException fires; no SLA
F-HD-041	HumanDesign	monitoring	prod	http	workers/src/index.js:919	none	Health Check Liveness	100%	rolling 7d	LIVE_NO_KPI	GET /health + /api/health; no SLA
F-HD-042	HumanDesign	monitoring	prod	metric	workers/src/lib/cfMetrics.js	collectCloudflareMetrics	CF Request Metrics	>1M/month	rolling 7d	LIVE_WITH_KPI	CPU/mem/cache via cron
F-HD-043	HumanDesign	cron	prod	cron	workers/src/cron.js	runDailyTransitCron	Daily Cron Execution	1×/day	daily	LIVE_WITH_KPI	6 AM UTC; 9 steps with withTimeout
F-HD-044	HumanDesign	integration	prod	webhook	workers/src/handlers/stripe-webhook.js	idempotent	Stripe Event Processing	>99%	rolling 7d	LIVE_WITH_KPI	5 event types; event_id dedup
F-HD-045	HumanDesign	integration	prod	webhook	workers/src/handlers/calendly-webhook.js	HMAC	Calendly Booking Ingestion	>95%	rolling 7d	LIVE_NO_KPI	Track 3.5; no event capture
F-HD-046	HumanDesign	integration	prod	webhook	workers/src/handlers/revenuecat-webhook.js	none	Mobile Subscription Sync	>99%	rolling 7d	LIVE_NO_KPI	Handler exists; no trackEvent
F-HD-047	HumanDesign	integration	prod	http	workers/src/handlers/promo.js	none	Promo Code Redemption	>100/wk	rolling 7d	LIVE_NO_KPI	POST /api/promo/apply; no trackEvent
F-HD-048	HumanDesign	integration	prod	http	workers/src/handlers/referrals.js	trackEvent(REFERRAL_SEND)	Referral Invite Sends	>100/wk	rolling 7d	LIVE_WITH_KPI	referral_signups FK chain
